Sizing ,Jacket ,Chest ,Overarm ,Shoulder ,Waist ,Neck ,Sleeve ,Length ,Height ,Weight 
,,,,,,,,,,
Regular ,34R ,32-34 ,40-42 ,17.75,26-28 ,14.15.5 ,32,30,5'6-5'9 ,110-120 
,,,,,,,,,,
Short ,34S ,32-34 ,40-42 ,17.75,26-28 ,14.15.5 ,32,30,5'6-5'9 ,110-120 
,,,,,,,,,,
Regular ,36R ,34-36 ,42-44 ,18.25,29-30 ,14.15.5 ,32,30.5,5'6-5'9 ,130-140 
,,,,,,,,,,
Short ,36S ,33-35 ,41-43 ,18,29-30 ,14-15.5 ,32,30,5'6-5'9 ,120-130 
,,,,,,,,,,
Regular ,38R ,37-39 ,45-47 ,19,31-32 ,15-16.5 ,33,30.5,5'8-5'11 ,155-165 
,,,,,,,,,,
Short ,38S ,36-38 ,44-46 ,18.75,31-32 ,14.5-15.5 ,33,30.5,5'8-5'11 ,145-155 
,,,,,,,,,,
Long ,38L ,36-38 ,44-46 ,18.75,31-32 ,14.5-15.5 ,33,30.5,5'8-5'11 ,145-155 
,,,,,,,,,,
Regular ,40R ,39-41 ,47-49 ,19.5,34-35 ,15.5-16.5 ,34,31,5'10-6'1 ,170-180 
,,,,,,,,,,
Short ,40S ,38-40 ,46-48 ,19.25,34-35 ,15-16.5 ,33,31,5'8-5'11 ,160-170 
,,,,,,,,,,
Long ,40L ,39-41 ,47-49 ,19.5,34-35 ,15.5-16.5 ,34,31,5'10-6'1 ,170-180 
,,,,,,,,,,
Regular ,42R ,41-43 ,49-51 ,20,36-37 ,16-17.5 ,34,31,5'10-6'1 ,190-200 
,,,,,,,,,,
Short ,42S ,40-42 ,48-50 ,19.75,36-37 ,15.5-16.5 ,33,31,5'10-6'1 ,180-190 
,,,,,,,,,,
Long ,42L ,41-43 ,49-51 ,20,36-37 ,16-17.5 ,34,31,5'10-6'1 ,190-200 
,,,,,,,,,,
Regular ,44R ,42-44 ,50-52 ,20.25,38-39 ,16-17.5 ,34,31,5'10-6'1 ,200-210 
,,,,,,,,,,
Short ,44S ,42-44 ,50-52 ,20.25,38-39 ,16-17.5 ,34,31,5'10-6'1 ,200-210 
,,,,,,,,,,
Long ,44L ,44-46 ,52-54 ,20.75,38-39 ,16.5-17.5 ,35,31.5,6'-6'3 ,210-220 
,,,,,,,,,,
Regular ,46R ,44-46 ,52-54 ,20.75,38-40 ,16.5-17.5 ,35,31.5,6'-6'3 ,210-220 
,,,,,,,,,,
Short ,46S ,44-46 ,52-54 ,20.75,38-40 ,16.5-17.5 ,34,31.5,6'-6'3 ,210-220 
,,,,,,,,,,
Long ,46L ,44-46 ,52-54 ,20.75,38-40 ,16.5-17.5 ,35,31.5,6'-6'3 ,210-220 
,,,,,,,,,,
Regular ,48R ,48-50 ,56-58 ,21.75,42-43 ,17-18.5 ,35,31.75,6'1-6'5 ,240-260 
,,,,,,,,,,
Short ,48S ,48-50 ,56-58 ,21.75,42-43 ,17-18.5 ,35,31.75,6'1-6'5 ,240-260 
,,,,,,,,,,
Long ,48L ,48-50 ,56-58 ,21.75,42-43 ,17-18.5 ,35,31.75,6'1-6'5 ,240-260 
,,,,,,,,,,
Regular ,50R ,48-50 ,56-58 ,21.75,43-44 ,17-18.5 ,35,31.75,6'1-6'5 ,240-260 
,,,,,,,,,,
Short ,50S ,48-50 ,56-58 ,21.75,43-44 ,17-18.5 ,35,31.75,6'1-6'5 ,240-260 
,,,,,,,,,,
Long ,50L ,48-50 ,56-58 ,21.75,43-44 ,17-18.5 ,36,31.75,6'1-6'5 ,240-260 
,,,,,,,,,,
Regular ,52R ,50-52 ,58-60 ,22.25,43-44 ,17-18.5 ,36,31.75,6'1-6'5 ,260-275 
,,,,,,,,,,
Short ,52S ,50-52 ,58-60 ,22.25,43-44 ,17-18.5 ,35,31.75,6'1-6'5 ,260-275 
,,,,,,,,,,
Long ,52L ,50-52 ,58-60 ,22.25,43-44 ,17-18.5 ,36,31.75,6'1-6'5 ,260-275 
,,,,,,,,,,
Regular ,54R ,52-54 ,60-62 ,22.75,46-47 ,18-19.5 ,37,32,6'2-6'7 ,275-290 
,,,,,,,,,,
Short ,54S ,52-54 ,60-62 ,22.75,46-47 ,18-19.5 ,36,32,6'2-6'7 ,275-290 
,,,,,,,,,,
Long ,54L ,52-54 ,60-62 ,22.75,46-47 ,18-19.5 ,37,32,6'2-6'7 ,275-290 
,,,,,,,,,,
Regular ,56R ,54-56 ,60-62 ,22.75,50-51 ,18-19.5 ,38,32,6'2-6'7 ,275-290 
,,,,,,,,,,
Short ,56S ,54-56 ,60-62 ,22.75,50-51 ,18-19.5 ,37,32,6'2-6'7 ,275-290 
,,,,,,,,,,
Long ,56L ,54-56 ,60-62 ,22.75,50-51 ,18-19.5 ,38,32,6'2-6'7 ,275-290 
,,,,,,,,,,
